Product,Category,Features
Shiseido White Lucent Brightening Balancing Softener Enriched W,toners,"['Fungal Acne Trigger', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Anti-Aging', 'Bad for Dry Skin', 'Brightening']"
Mario Badescu Keratoplast Cleansing Lotion,toners,"['Comedogenic Rating (2)', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Paraben', 'Comedogenic Rating (2)', 'Paraben', 'Fungal Acne Trigger']"
Avene Cleanance Mat Mattifying Toner,toners,"['Acne-Fighting', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Dry Skin', 'Comedogenic Rating (2)']"
Hada Labo Gokujyun Lotion,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Paraben']"
ETUDE HOUSE Honey Cera Toner,toners,"['Fungal Acne Trigger', 'Anti-Aging', 'Comedogenic Rating (2)', 'Comedogenic Rating (1)', 'Bad for Oily Skin', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Promotes Wound Healing', 'Bad for Dry Skin', 'Silicone']"
ETUDE HOUSE Soon Jung PH 5.5 Relief Toner 80ml,toners,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin']"
KLAIRS Supple Preparation Facial Toner,toners,"['Acne-Fighting', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Anti-Aging', 'Good for Sensitive Skin']"
TIA'M Vita B3 Source,serums,"['Brightening', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Oily Skin']"
The Ordinary Amino Acids + B5,serums,"['Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger']"
Iunik Black Snail Restore Serum Repair Ampoule,serums,"['Acne-Fighting', 'Brightening', 'Anti-Aging', 'Fungal Acne Trigger', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Promotes Wound Healing']"
The Ordinary Resveratrol 3% + Ferulic Acid 3%,serums,['Anti-Aging']
Paula's Choice 10% Azelaic Acid Booster,serums,"['Acne-Fighting', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Anti-Aging', 'Acne-Fighting', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Silicone', 'Good for Oily Skin', 'Brightening']"
Laneige White Dew Original Ampoule Essence,serums,"['Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Dry Skin', 'Good for Oily Skin', 'Silicone', 'Fungal Acne Trigger']"
Peach & Lily Glass Skin Refining Serum,serums,"['Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Promotes Wound Healing']"
Neutrogena Ageless Intensives Deep Wrinkle Anti-Wrinkle Serum,serums,"['Comedogenic Rating (1)', 'Good for Dry Skin', 'Anti-Aging', 'Silicone', 'Silicone', 'Acne-Fighting', 'Brightening']"
A'pieu Madecassoside Ampoule,serums,"['Promotes Wound Healing', 'Promotes Wound Healing']"
Purito Fermented Complex 94 Boosting Essence,serums,"['Brightening', 'Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Good for Oily Skin']"
Olay Regenerist Filling & Sealing Wrinkle Treatment,serums,"['Good for Dry Skin', 'Comedogenic Rating (2)', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'UV Protection']"
IsNtree Hyaluronic Acid Water Essence,serums,"['Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Promotes Wound Healing']"
Kleveru Glass Skin Overnight Serum,serums,"['Acne-Fighting', 'Promotes Wound Healing', 'Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Anti-Aging', 'Anti-Aging', 'Anti-Aging', 'Good for Sensitive Skin']"
Shiseido Benefiance Energizing Essence,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Paraben', 'UV Protection', 'Bad for Dry Skin', 'Brightening']"
AmorePacific Moisture Bound Rejuvenating Serum,serums,"['Brightening', 'Silicone', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Comedogenic Rating (1)', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Anti-Aging', 'Bad for Dry Skin', 'Good for Oily Skin', 'Silicone', 'Silicone', 'Fungal Acne Trigger', 'Comedogenic Rating (2)']"
Shiseido Bio-Performance Super Refining Essence,serums,"['Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Bad for Dry Skin', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
"Origins A Perfect World, White Tea Skin Guardian",serums,"['Brightening', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin', 'Silicone', 'Bad for Sensitive Skin', 'Silicone', 'Paraben', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
MANYO FACTORY Bifida Complex Ampoule,serums,"['Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Sensitive Skin']"
SkinCeuticals C E Ferulic Serum,serums,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Brightening', 'Anti-Aging', 'Anti-Aging', 'Bad for Oily Skin', 'Comedogenic Rating (2)']"
Superdrug Simply Pure Hydrating Serum,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Anti-Aging']"
Cos de Baha Niacinamide 10 Serum,serums,"['Brightening', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Ilia True Skin Serum Foundation,serums,"['Anti-Aging', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Comedogenic Rating (1)', 'Good for Dry Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Silicone', 'Good for Sensitive Skin', 'UV Protection', 'Brightening']"
Estee Lauder Re-Nutriv Ultimate Lift Age Correcting Serum,serums,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Comedogenic Rating (1)', 'Comedogenic Rating (2)', 'Anti-Aging', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Silicone', 'Bad for Oily Skin', 'Anti-Aging', 'Allergens', 'UV Protection']"
Hanasui Cosmetics Bright Up Serum,serums,"['Acne-Fighting', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Comedogenic Rating (2)', 'Brightening']"
Naruko Raw Job’s Tears Supercritical CO2 Pore Minimizing & Brightening Essence,serums,"['Acne-Fighting', 'Anti-Aging', 'Brightening', 'Anti-Aging', 'Brightening', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Bad for Dry Skin', 'Anti-Aging', 'Brightening']"
CosRX Full Fit Propolis Light Ampoule,serums,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin']"
Paula's Choice CLINICAL 1% Retinol Treatment,serums,"['Acne-Fighting', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Acne-Fighting', 'Anti-Aging', 'Silicone', 'Bad for Sensitive Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Acne-Fighting']"
THE FACE SHOP Dr. Belmeur Clarifying Spot Calming Ampoule,serums,"['Brightening', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Bad for Dry Skin']"
Drunk Elephant D-Bronzi Anti-Pollution Sunshine Serum,serums,"['Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Comedogenic Rating (1)', 'Comedogenic Rating (2)', 'Anti-Aging', 'Sulfate', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Hada Labo Lotion No.1 Super Hydrator,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging']"
Origins Plantscription Anti-Aging Power Serum,serums,"['Bad for Sensitive Skin', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Oily Skin', 'Bad for Sensitive Skin', 'Comedogenic Rating (2)', 'Silicone', 'Bad for Sensitive Skin', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
IT'S SKIN Hyaluronic Acid Serum,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Silicone', 'Fungal Acne Trigger', 'Comedogenic Rating (2)']"
Shiseido Bio-Performance Super Corrective Serum,serums,"['Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Silicone', 'Comedogenic Rating (1)', 'Anti-Aging', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'UV Protection', 'Allergens']"
Trader Joe's Nourish Hyaluronic Moisture Boost Serum,serums,['Promotes Wound Healing']
The Inkey List Retinol Serum,serums,"['Comedogenic Rating (1)', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Acne-Fighting']"
Krave Beauty Kale-Lalu-Yaha,serums,"['Promotes Wound Healing', 'Anti-Aging', 'Acne-Fighting', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Paula's Choice SKIN RECOVERY Super Concentrate Serum,serums,"['Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Brightening', 'Silicone', 'Anti-Aging', 'Good for Sensitive Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Bad for Oily Skin', 'Anti-Aging', 'Promotes Wound Healing', 'Anti-Aging', 'Silicone', 'Silicone', 'Bad for Dry Skin', 'Acne-Fighting', 'Brightening']"
Clinique Acne Solutions Clinical Clearing Gel,serums,"['Good for Dry Skin', 'Acne-Fighting']"
Bougas Advanced serum,serums,"['Comedogenic Rating (2)', 'Good for Dry Skin']"
LEADERS Brightening Recovery Mask,serums,"['Brightening', 'Fungal Acne Trigger', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Dry Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger']"
Nakeup Face PHA Water Tox Ampoule,serums,"['Anti-Aging', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Comedogenic Rating (1)', 'Fungal Acne Trigger']"
Laneige Clear C Advanced Effector,serums,"['Brightening', 'Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Dry Skin', 'Fungal Acne Trigger']"
Peter Thomas Roth Water Drench Hyaluronic Cloud Serum,serums,"['Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Paraben', 'Paraben']"
The Inkey List Hyaluronic Acid Serum,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger']"
CosRX Triple C Lightning Liquid,serums,"['Acne-Fighting', 'Good for Dry Skin', 'Promotes Wound Healing', 'Brightening', 'Good for Oily Skin']"
Avoskin Miraculous Refining Serum,serums,"['Brightening', 'Anti-Aging', 'Comedogenic Rating (2)', 'Comedogenic Rating (1)', 'Bad for Oily Skin', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Silicone', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)', 'Good for Sensitive Skin']"
Skintegra Spectra,serums,"['Fungal Acne Trigger', 'Promotes Wound Healing', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Anti-Aging']"
Marie Veronique Soothing B3 Serum,serums,"['Acne-Fighting', 'Anti-Aging', 'Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Brightening', 'Promotes Wound Healing']"
IT'S SKIN Power 10 Formula VE Effector,serums,"['Promotes Wound Healing', 'Bad for Oily Skin', 'Good for Dry Skin', 'Silicone', 'Bad for Oily Skin', 'Silicone', 'Silicone', 'Anti-Aging', 'Comedogenic Rating (2)']"
Cos de Baha Retinol 2.5% Serum + Vitamin E,serums,"['Brightening', 'Silicone', 'Promotes Wound Healing', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Silicone', 'Silicone', 'Anti-Aging', 'Good for Oily Skin', 'Bad for Oily Skin', 'Acne-Fighting', 'Good for Sensitive Skin']"
Medik8 HYDR8 B5 Liquid Rehydration Serum,serums,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Anti-Aging']"
First Aid Beauty 5 In 1 Bouncy Mask,serums,"['Acne-Fighting', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Oily Skin', 'Silicone', 'Silicone']"
Purito Snail Repair Advanced 91 Serum,serums,"['Brightening', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Good for Oily Skin', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Iunik Beta-Glucan Power Moisture Serum,serums,"['Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin']"
Skin 1004 Madagascar Centella Asiatica 100 Ampoule,serums,['Promotes Wound Healing']
The Ordinary 100% Plant-Derived Squalane,serums,['Comedogenic Rating (1)']
The Ordinary Matrixyl 10% + HA,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
INNISFREE Green Tea Moisture Essence,serums,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Comedogenic Rating (1)', 'Bad for Oily Skin', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Silicone']"
Shiseido Aqualabel Whitening Jelly Essence,serums,"['Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Dry Skin', 'Good for Oily Skin', 'Brightening']"
By WISHTREND  Pure Vitamin C21.5 Advanced Serum,serums,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Brightening', 'Good for Oily Skin']"
ETUDE HOUSE Pink Vital Water Serum,serums,"['Anti-Aging', 'Comedogenic Rating (1)', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Brightening', 'Anti-Aging', 'Bad for Dry Skin', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'UV Protection']"
HANSKIN Hyaluron Skin Essence,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Promotes Wound Healing', 'Anti-Aging']"
Naturie Hatomugi Skin Conditioning Gel,serums,"['Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Silicone', 'Paraben']"
The Ordinary Alpha Lipoic Acid 5%,serums,['']
The Ordinary Niacinamide 10% & Zinc 1%,serums,['Brightening']
Skintegra Clarion,serums,"['Acne-Fighting', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Acne-Fighting', 'Good for Oily Skin', 'Anti-Aging']"
NEOGEN Real Ferment Micro Essence,serums,"['Brightening', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger', 'Good for Oily Skin']"
SomeByMi Yuja Niacin 30 Days Blemish Care Serum,serums,"['Acne-Fighting', 'Brightening', 'Brightening', 'Anti-Aging', 'Brightening', 'Promotes Wound Healing', 'Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Oily Skin', 'Bad for Sensitive Skin']"
The Ordinary “Buffet” + Copper Peptides 1%,serums,"['Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Oily Skin']"
Kiku-Masamune High Moist Lotion,serums,"['Brightening', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Paraben']"
Iunik Black Snail Restore Serum,serums,"['Acne-Fighting', 'Brightening', 'Anti-Aging', 'Fungal Acne Trigger', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Promotes Wound Healing']"
The Ordinary Lactic Acid 5% + HA,serums,"['Good for Dry Skin', 'Anti-Aging']"
First Aid Beauty Ultra Repair Hydrating Serum,serums,"['Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Oily Skin', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Good for Sensitive Skin']"
MISSHA Time Revolution The First Treatment Essence Rx Pro Ferment,serums,"['Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging']"
Dermalogica Multivitamin Power Recovery Masque,serums,"['Anti-Aging', 'Acne-Fighting', 'Fungal Acne Trigger', 'Anti-Aging', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Acne-Fighting', 'Good for Sensitive Skin', 'Good for Sensitive Skin', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Anti-Aging']"
Dermalogica Charcoal Rescue Masque,serums,"['Acne-Fighting', 'Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Anti-Aging', 'Anti-Aging', 'Good for Oily Skin']"
Aromatica Rose Absolute First Serum,serums,"['Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Promotes Wound Healing', 'Good for Oily Skin', 'Good for Sensitive Skin']"
The Ordinary Acorbic Acid 8% + Alpha Arbutin 2%,serums,"['Brightening', 'Brightening']"
Primera Miracle Seed Essence,serums,"['Brightening', 'Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging']"
Sukin Super Greens Facial Recovery Serum,serums,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Anti-Aging', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
MISSHA Time Revolution Night Repair Ampoule Gold,serums,"['Fungal Acne Trigger', 'Brightening', 'Silicone', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Brightening', 'Brightening', 'Good for Sensitive Skin', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Fungal Acne Trigger', 'Silicone', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Acne-Fighting', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Somethinc AHA BHA PHA Peeling Solution,serums,"['Brightening', 'Anti-Aging', 'Promotes Wound Healing', 'Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Anti-Aging', 'Comedogenic Rating (2)']"
The Ordinary Retinol 1% in Squalane,serums,"['Comedogenic Rating (1)', 'Fungal Acne Trigger', 'Acne-Fighting']"
Mizon HYALURONIC ACID 100,serums,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Oily Skin', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Comedogenic Rating (2)']"
Kayman Beauty Skintella Repairing Serum,serums,"['Anti-Aging', 'Brightening', 'Brightening', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Promotes Wound Healing', 'Brightening', 'Good for Dry Skin', 'Anti-Aging', 'Anti-Aging']"
Balea Aqua Serum,serums,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Anti-Aging']"
Caudalie Paris Vinoperfect Concentrated Brightening Essence,serums,"['Anti-Aging', 'Good for Dry Skin', 'Anti-Aging', 'Allergens', 'Allergens']"
The Ordinary Lactic Acid 10% + HA,serums,"['Good for Dry Skin', 'Anti-Aging']"
Sulwhasoo First Care Activating Serum EX,serums,"['Acne-Fighting', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Bad for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger']"
The Bath Box BRASSICA - LIGHTENING FACIAL SERUM,serums,"['Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger']"
MISSHA Super Aqua Ultra Waterfull Gel Serum,serums,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Silicone', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Promotes Wound Healing']"
Olay Regenerist Regenerating Serum,serums,"['Brightening', 'Silicone', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Silicone', 'Fungal Acne Trigger', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Bad for Oily Skin']"
OTSUKA Oronine H Ointment,serums,"['Bad for Oily Skin', 'Comedogenic Rating (2)', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Bad for Oily Skin']"
Origins Original Skin Renewal Serum with Willowherb,serums,"['Bad for Sensitive Skin', 'Brightening', 'Comedogenic Rating (2)', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Comedogenic Rating (2)', 'Silicone', 'Anti-Aging', 'Allergens', 'Allergens', 'UV Protection']"
NIOD Survival 0,serums,"['Comedogenic Rating (1)', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Promotes Wound Healing']"
ZarZou Beauty  Repairing And Soothing Facial Serum,serums,"['Brightening', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Comedogenic Rating (1)', 'Good for Dry Skin', 'Acne-Fighting', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Oily Skin']"
Pixi Rose Caviar Essence,serums,"['Brightening', 'Fungal Acne Trigger', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Bad for Sensitive Skin', 'Anti-Aging', 'Good for Sensitive Skin']"
SkinCeuticals Retinol 0.3,serums,"['Silicone', 'Bad for Oily Skin', 'Anti-Aging', 'Silicone', 'Fungal Acne Trigger', 'Bad for Dry Skin', 'Acne-Fighting', 'Brightening']"
Indeed Laboratories Hydraluron Moisture Serum,serums,"['Good for Dry Skin', 'Promotes Wound Healing']"
Novexpert Booster Serum With Hyaluronic Acid,serums,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Sensitive Skin']"
fresh Black Tea Kombucha Facial Treatment Essence,serums,"['Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Anti-Aging', 'Good for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Allergens']"
NEOGEN Real Ferment Micro Serum,serums,"['Brightening', 'Brightening', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Brightening', 'Anti-Aging', 'Good for Oily Skin', 'Silicone', 'Silicone', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
